ID,X,Fe (wt%),Mn (wt%),Si (wt%),Al (wt%),Mg (wt%),Ti (wt%),Cu (wt%),Cr (wt%),V (wt%),Zr (wt%),Zn (wt%),2% proof stress (Mpa),Tensile strength (Mpa),Elongation (%)
A 6005A BE,1,0.18,0.25,0.7,97.88,0.55,0.05,0.15,0.15,0,0,0.1,100,170,15
A 6005A BE,4,0.18,0.25,0.7,97.88,0.55,0.05,0.15,0.15,0,0,0.1,90,180,15
A 6005A BE,5,0.18,0.25,0.7,97.88,0.55,0.05,0.15,0.15,0,0,0.1,215,260,9
A 6005A BE,6,0.18,0.25,0.7,97.88,0.55,0.05,0.15,0.15,0,0,0.1,225,270,8
A 6005C BE,1,0.18,0.25,0.65,97.83,0.6,0.05,0.18,0.15,0,0,0.13,107,176,16
A 6005C BE,5,0.18,0.25,0.65,97.83,0.6,0.05,0.18,0.15,0,0,0.13,175,225,8
A 6005C BE,6,0.18,0.25,0.65,97.83,0.6,0.05,0.18,0.15,0,0,0.13,235,265,8
A 6060 BE,4,0.2,0.05,0.45,98.63,0.48,0.05,0.05,0.03,0,0,0.08,60,120,14
A 6060 BE,5,0.2,0.05,0.45,98.63,0.48,0.05,0.05,0.03,0,0,0.08,120,160,6
A 6060 BE,6,0.2,0.05,0.45,98.63,0.48,0.05,0.05,0.03,0,0,0.08,150,190,8
A 6061 BD,4,0.35,0.08,0.6,97.31,1,0.08,0.28,0.2,0,0,0.13,110,205,18
A 6061 BD,6,0.35,0.08,0.6,97.31,1,0.08,0.28,0.2,0,0,0.13,240,290,10
A 6061 P,4,0.35,0.08,0.6,97.31,1,0.08,0.28,0.2,0,0,0.13,110,205,16
A 6061 P,6,0.35,0.08,0.6,97.31,1,0.08,0.28,0.2,0,0,0.13,245,295,10
A 6063 BD,1,0.18,0.05,0.4,98.5,0.68,0.05,0.05,0.05,0,0,0.05,62,117,12
A 6063 BD,4,0.18,0.05,0.4,98.5,0.68,0.05,0.05,0.05,0,0,0.05,69,131,14
A 6063 BD,5,0.18,0.05,0.4,98.5,0.68,0.05,0.05,0.05,0,0,0.05,110,152,8
A 6063 BD,6,0.18,0.05,0.4,98.5,0.68,0.05,0.05,0.05,0,0,0.05,172,207,8
A 6082 P,4,0.25,0.7,1,96.83,0.9,0.05,0.05,0.13,0,0,0.1,110,205,12
A 6082 P,6,0.25,0.7,1,96.83,0.9,0.05,0.05,0.13,0,0,0.1,260,310,6
A 6101 P,6,0.25,0.02,0.5,98.52,0.58,0,0.05,0.02,0,0,0.05,145,175,14
A 6101 P,7,0.25,0.02,0.5,98.52,0.58,0,0.05,0.02,0,0,0.05,110,135,10
A 6151 FH,6,0.5,0.1,0.9,97.25,0.63,0.08,0.18,0.25,0,0,0.13,225,295,10
A 6181 BD,4,0.23,0.08,1,97.65,0.8,0.05,0.05,0.05,0,0,0.1,100,200,15
A 6181 BD,6,0.23,0.08,1,97.65,0.8,0.05,0.05,0.05,0,0,0.1,240,280,8
A 6262 BD,6,0.35,0.08,0.6,96.16,1,0.08,0.43,0.09,0,0,0.13,276,310,17
A 6262 BD,8,0.35,0.08,0.6,96.16,1,0.08,0.43,0.09,0,0,0.13,338,352,15
A 6463 S,1,0.18,0.05,0.4,98.6,0.68,0,0.05,0,0,0,0.05,60,115,12
A 6463 S,4,0.18,0.05,0.4,98.6,0.68,0,0.05,0,0,0,0.05,75,125,12
A 6463 S,5,0.18,0.05,0.4,98.6,0.68,0,0.05,0,0,0,0.05,110,150,6
A 6463 S,6,0.18,0.05,0.4,98.6,0.68,0,0.05,0,0,0,0.05,160,195,8
A 6N01 BE,5,0.18,0.25,0.65,97.83,0.6,0.05,0.18,0.15,0,0,0.13,175,225,8
A 6N01 BE,6,0.18,0.25,0.65,97.83,0.6,0.05,0.18,0.15,0,0,0.13,235,265,8
A 7072 B,6,0.35,0.05,0.35,98.1,0.05,0,0.05,0,0,0,1.05,410,480,7
A 7003 BE,5,0.18,0.15,0.15,92.58,0.75,0.1,0.1,0.1,0,0.15,5.75,245,285,10
A 7003 BE,6,0.18,0.15,0.15,92.58,0.75,0.1,0.1,0.1,0,0.15,5.75,290,350,8
A 7005 S,5,0.2,0.45,0.18,92.92,1.4,0.04,0.05,0.13,0,0.14,4.5,305,345,10
A 7005 S,6,0.2,0.45,0.18,92.92,1.4,0.04,0.05,0.13,0,0.14,4.5,290,350,8
A 7010 P,6,0.08,0.05,0.06,89.33,2.35,0.03,1.75,0.03,0,0.13,6.2,520,570,6
A 7010 P,7,0.08,0.05,0.06,89.33,2.35,0.03,1.75,0.03,0,0.13,6.2,380,470,7
A 7020 BE,4,0.2,0.28,0.18,93.02,1.2,0.17,0.1,0.23,0,0.14,4.5,210,320,8
A 7020 BE,6,0.2,0.28,0.18,93.02,1.2,0.17,0.1,0.23,0,0.14,4.5,275,340,10
A 7049A BE,6,0.25,0.25,0.2,87.05,2.6,0.03,1.55,0.15,0,0.13,7.8,430,520,5
A 7049A BE,7,0.25,0.25,0.2,87.05,2.6,0.03,1.55,0.15,0,0.13,7.8,425,495,7
A 7050 P,7,0.08,0.05,0.06,88.9,2.25,0.03,2.3,0.02,0,0.12,6.2,405,485,6
A 7075 P,6,0.25,0.15,0.2,89.25,2.5,0.1,1.6,0.23,0,0.13,5.6,470,540,7
A 7075 P,7,0.25,0.15,0.2,89.25,2.5,0.1,1.6,0.23,0,0.13,5.6,385,460,8
A 7178 P,6,0.25,0.15,0.2,87.52,2.75,0.1,2,0.23,0,0,6.8,505,580,8
A 7178 P,7,0.25,0.15,0.2,87.52,2.75,0.1,2,0.23,0,0,6.8,427,503,8
A 7204 P,4,0.18,0.45,0.15,91.7,1.5,0.1,0.1,1.15,0.05,0.13,4.5,195,315,11
A 7204 P,5,0.18,0.45,0.15,91.7,1.5,0.1,0.1,1.15,0.05,0.13,4.5,245,325,10
A 7204 P,6,0.18,0.45,0.15,91.7,1.5,0.1,0.1,1.15,0.05,0.13,4.5,275,335,10
A 7475 P,6,0.06,0.03,0.05,90.12,2.25,0.03,1.55,0.22,0,0,5.7,440,515,9
A 7475 P,7,0.06,0.03,0.05,90.12,2.25,0.03,1.55,0.22,0,0,5.7,410,490,9
A 7N01 P,4,0.18,0.45,0.15,91.7,1.5,0.1,0.1,1.15,0.05,0.13,4.5,195,315,11
A 7N01 P,5,0.18,0.45,0.15,91.7,1.5,0.1,0.1,1.15,0.05,0.13,4.5,245,325,10
A 7N01 P,6,0.18,0.45,0.15,91.7,1.5,0.1,0.1,1.15,0.05,0.13,4.5,275,335,10
